name,dtype,status,selected,n_bins,woe,quality_score
LOG_INC,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
LOG_APA3,categorical,OPTIMAL,True,5,494.611766919639,0.004737028183917592
LOG_AVA1,categorical,OPTIMAL,True,5,443.39900654581805,7.828368884397345e-05
MEN_MAIS,categorical,OPTIMAL,True,5,411.67497812249843,0.0028351781128044384
MEN_COLL,categorical,OPTIMAL,True,5,432.6379502640707,0.002806345913063317
MEN_FMP,categorical,OPTIMAL,True,2,275.4043915202131,0.15126831436850688
MEN_PROP,categorical,OPTIMAL,True,4,312.1900023860534,0.007223802785671411
MEN_PAUV,categorical,OPTIMAL,True,3,286.9379463739827,0.04690809112254419
MEN,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
COEFASS,categorical,OPTIMAL,True,5,866.1498442707166,0.006542664392301713
DISTANCE_111,categorical,OPTIMAL,True,3,618.4733049320307,0.0010059476312103265
DISTANCE_112,categorical,OPTIMAL,True,3,589.623889610292,0.006218494369942431
DISTANCE_121,categorical,OPTIMAL,True,3,611.2747510202424,0.001069583305168284
DISTANCE_122,categorical,OPTIMAL,True,3,621.0151357063335,0.014436639803262952
DISTANCE_123,categorical,OPTIMAL,True,4,694.4951567526562,0.02524927141061583
DISTANCE_124,categorical,OPTIMAL,True,3,687.6370927806283,0.21183500138346886
DISTANCE_131,categorical,OPTIMAL,True,3,617.0382976396094,0.0022404948884945553
DISTANCE_132,categorical,OPTIMAL,True,4,771.3421893741728,0.01762490887250413
DISTANCE_133,categorical,OPTIMAL,True,3,652.5619373779145,0.18892452192423803
DISTANCE_141,categorical,OPTIMAL,True,4,786.2632403967727,0.017055469637113338
DISTANCE_142,categorical,OPTIMAL,True,3,581.8963541250738,0.06890071386787693
DISTANCE_211,categorical,OPTIMAL,True,2,406.83971492470346,0.36063063476421064
DISTANCE_212,categorical,OPTIMAL,True,4,712.8280957681515,0.15428523779230752
DISTANCE_213,categorical,OPTIMAL,True,4,716.3956499659818,0.04549526123923034
DISTANCE_221,categorical,OPTIMAL,True,4,754.3203583612781,0.0003796685864711606
DISTANCE_222,categorical,OPTIMAL,True,3,618.8065658038349,0.012193229919876643
DISTANCE_223,categorical,OPTIMAL,True,4,726.3612752065926,0.045811485387520556
DISTANCE_231,categorical,OPTIMAL,True,2,448.78748719184864,0.43444214596022407
DISTANCE_242,categorical,OPTIMAL,True,2,477.6994517771915,0.28711103011518097
DISTANCE_243,categorical,OPTIMAL,True,3,609.0552925029177,0.012508783577137535
DISTANCE_244,categorical,OPTIMAL,True,1,385.9733978431603,0.38714848196413093
DISTANCE_311,categorical,OPTIMAL,True,2,436.74724683017894,0.39651052534453524
DISTANCE_312,categorical,OPTIMAL,True,1,386.43958823240536,0.3874490045111838
DISTANCE_313,categorical,OPTIMAL,True,1,384.29490341917597,0.38544546958703174
DISTANCE_321,categorical,OPTIMAL,True,4,713.689604112266,0.003855452577678169
DISTANCE_322,categorical,OPTIMAL,True,3,579.3899991691168,0.0017383655129736403
DISTANCE_323,categorical,OPTIMAL,True,4,736.5248892249182,0.05453472648426472
DISTANCE_324,categorical,OPTIMAL,True,1,386.34597275314985,0.3873864247099595
DISTANCE_331,categorical,OPTIMAL,True,4,806.7657238272451,0.007469997385599558
DISTANCE_332,categorical,OPTIMAL,True,4,771.3354669925191,0.04740104735138981
DISTANCE_333,categorical,OPTIMAL,True,4,744.1541008717728,0.0022225809899229614
DISTANCE_334,categorical,OPTIMAL,True,4,741.0156477889159,0.05274337018181335
DISTANCE_335,categorical,OPTIMAL,True,4,713.3487774077906,0.013397152154259703
DISTANCE_411,categorical,OPTIMAL,True,3,549.9202360957058,0.15132816261955365
DISTANCE_412,categorical,OPTIMAL,True,4,755.003446272775,0.0974658324431473
DISTANCE_421,categorical,OPTIMAL,True,4,1014.2808423793047,0.16534788926642696
DISTANCE_422,categorical,OPTIMAL,True,4,758.5397441032579,0.027678331431245082
DISTANCE_423,categorical,OPTIMAL,True,4,839.1090536682332,0.2698834678365185
DISTANCE_511,categorical,OPTIMAL,True,4,699.3315036428606,0.012552742427749859
DISTANCE_512,categorical,OPTIMAL,True,3,555.1358530790509,0.2932781278638186
DISTANCE_521,categorical,OPTIMAL,True,4,975.5719454679274,0.10445355247664642
DISTANCE_522,categorical,OPTIMAL,True,4,844.8189138675715,0.18036444150648603
DISTANCE_523,categorical,OPTIMAL,True,4,837.492553288654,0.256757244080353
PROPORTION_11,categorical,OPTIMAL,True,3,297.0832448376404,0.002770087205154753
PROPORTION_12,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_13,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_14,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_21,categorical,OPTIMAL,True,5,498.70260014709993,0.006806599784243908
PROPORTION_22,categorical,OPTIMAL,True,5,582.337170580255,0.010129408671897924
PROPORTION_23,categorical,OPTIMAL,True,5,612.1743389878025,0.00044941430871294304
PROPORTION_24,categorical,OPTIMAL,True,5,506.2541535911782,0.020386069030843425
PROPORTION_31,categorical,OPTIMAL,True,5,420.9018663493417,0.0012198619119527228
PROPORTION_32,categorical,OPTIMAL,True,3,464.6694438577053,0.1302538250802609
PROPORTION_33,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_41,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_42,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_51,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
PROPORTION_52,categorical,OPTIMAL,True,1,250.5361391867953,0.03737901794770875
MEN_1IND,categorical,OPTIMAL,True,4,322.3990062328854,0.0032112705544404788
MEN_5IND,categorical,OPTIMAL,True,2,322.36988415890556,0.08516403666643795
LOG_A1_A2,categorical,OPTIMAL,True,3,290.1954264959983,0.021077052750958638
LOG_A2_A3,categorical,OPTIMAL,True,4,347.89059570220667,0.008351916246089018
IND_Y1_Y2,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y2_Y3,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y3_Y4,categorical,OPTIMAL,True,2,259.0614281674589,0.03725878725435845
IND_Y4_Y5,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y5_Y6,categorical,OPTIMAL,True,3,452.2496612061639,0.038602908940004184
IND_Y6_Y7,categorical,OPTIMAL,True,2,268.0078659397172,0.13512962711967452
IND_Y7_Y8,categorical,OPTIMAL,True,2,363.8116494750906,0.08749621814821976
IND_Y8_Y9,categorical,OPTIMAL,True,3,346.00766171960964,0.10466474090504174
DISTANCE_1,categorical,OPTIMAL,True,3,632.3832260687569,0.04653872256333473
DISTANCE_2,categorical,OPTIMAL,True,1,386.1249652792355,0.38724640705216357
ALTITUDE_1,categorical,OPTIMAL,True,4,718.5058042123243,0.048482535721354116
ALTITUDE_2,categorical,OPTIMAL,True,3,432.3036046045143,0.02456081536016731
ALTITUDE_3,categorical,OPTIMAL,True,3,442.6437812021407,0.09258869769689711
ALTITUDE_4,categorical,OPTIMAL,True,4,427.3835611889448,0.000280188623875331
ALTITUDE_5,categorical,OPTIMAL,True,3,328.4163344570798,0.015664051643008377
NBJTX25_MM_A,categorical,OPTIMAL,True,4,702.0692250259788,0.030821768974234942
NBJTX25_MMAX_A,categorical,OPTIMAL,True,4,709.4552349517348,0.10182238900343249
NBJTX25_MSOM_A,categorical,OPTIMAL,True,4,702.0692250259788,0.030821768974234942
NBJTX0_MM_A,categorical,OPTIMAL,True,3,836.1496229863217,0.25673122389731345
NBJTX0_MMAX_A,categorical,OPTIMAL,True,4,876.4849786929556,0.045775081645903444
NBJTX0_MSOM_A,categorical,OPTIMAL,True,3,836.1496229863217,0.25673122389731345
NBJTXI27_MM_A,categorical,OPTIMAL,True,4,677.088864575571,0.0006785597050993791
NBJTXI27_MMAX_A,categorical,OPTIMAL,True,3,648.1746814475216,0.089023605704967
NBJTXI27_MSOM_A,categorical,OPTIMAL,True,4,677.088864575571,0.0006785597050993791
NBJTXS32_MM_A,categorical,OPTIMAL,True,4,643.1498447179915,0.004428338853387183
NBJTXS32_MMAX_A,categorical,OPTIMAL,True,4,623.5328169769797,0.038445048065929854
NBJTXS32_MSOM_A,categorical,OPTIMAL,True,4,643.1498447179915,0.004428338853387183
NBJTXI20_MM_A,categorical,OPTIMAL,True,4,709.4102261982492,0.0012014135870617843
NBJTXI20_MMAX_A,categorical,OPTIMAL,True,2,510.70784544902637,0.4254517054991047
NBJTXI20_MSOM_A,categorical,OPTIMAL,True,4,709.4102261982492,0.0012014135870617843
NBJTX30_MM_A,categorical,OPTIMAL,True,4,614.154468330941,0.05908814234747097
NBJTX30_MMAX_A,categorical,OPTIMAL,True,4,623.7222855294315,0.04939840489858473
NBJTX30_MSOM_A,categorical,OPTIMAL,True,4,614.154468330941,0.05908814234747097
NBJTX35_MM_A,categorical,OPTIMAL,True,4,692.2107257455166,0.0003036383857877014
NBJTX35_MMAX_A,categorical,OPTIMAL,True,4,660.1946089879418,0.005790010302091789
NBJTX35_MSOM_A,categorical,OPTIMAL,True,4,692.2107257455166,0.0003036383857877014
NBJTN10_MM_A,categorical,OPTIMAL,True,3,860.4689468416038,0.3821980806199184
NBJTN10_MMAX_A,categorical,OPTIMAL,True,3,787.830369332971,0.38738274386182
NBJTN10_MSOM_A,categorical,OPTIMAL,True,3,860.4689468416038,0.3821980806199184
NBJTNI10_MM_A,categorical,OPTIMAL,True,4,655.3589108134108,0.01596429504891069
NBJTNI10_MMAX_A,categorical,OPTIMAL,True,3,530.7455302426504,0.2013964070458115
NBJTNI10_MSOM_A,categorical,OPTIMAL,True,4,655.3589108134108,0.01596429504891069
NBJTN5_MM_A,categorical,OPTIMAL,True,3,820.9998591383819,0.40880946818032937
NBJTN5_MMAX_A,categorical,OPTIMAL,True,4,835.5178861871509,0.07229753306484056
NBJTN5_MSOM_A,categorical,OPTIMAL,True,3,820.9998591383819,0.40880946818032937
NBJTNS25_MM_A,categorical,OPTIMAL,True,2,527.6017916185451,0.379489484404675
NBJTNS25_MMAX_A,categorical,OPTIMAL,True,3,614.7137606414749,0.10534898124390028
NBJTNS25_MSOM_A,categorical,OPTIMAL,True,2,527.6017916185451,0.379489484404675
NBJTNI15_MM_A,categorical,OPTIMAL,True,3,571.7743633932471,0.11311463720229227
NBJTNI15_MMAX_A,categorical,OPTIMAL,True,3,620.3275568609811,0.0031945402004135513
NBJTNI15_MSOM_A,categorical,OPTIMAL,True,3,571.7743633932471,0.11311463720229227
NBJTNI20_MM_A,categorical,OPTIMAL,True,2,455.643019966805,0.409705405031713
NBJTNI20_MMAX_A,categorical,OPTIMAL,True,2,486.8558057077146,0.2307383360911013
NBJTNI20_MSOM_A,categorical,OPTIMAL,True,2,455.643019966805,0.409705405031713
NBJTNS20_MM_A,categorical,OPTIMAL,True,3,530.4821568324408,0.18420393844677227
NBJTNS20_MMAX_A,categorical,OPTIMAL,True,3,550.9082764169124,0.06180348790070803
NBJTNS20_MSOM_A,categorical,OPTIMAL,True,3,530.4821568324408,0.18420393844677227
NBJTMS24_MM_A,categorical,OPTIMAL,True,3,600.4921787838267,0.055773377715892
NBJTMS24_MMAX_A,categorical,OPTIMAL,True,3,610.5975455089457,0.02764061867002596
NBJTMS24_MSOM_A,categorical,OPTIMAL,True,3,600.4921787838267,0.055773377715892
TAMPLIAB_VOR_MM_A,categorical,OPTIMAL,True,3,574.7452096005804,0.12029010492667506
TAMPLIAB_VOR_MMAX_A,categorical,OPTIMAL,True,3,593.6105042594885,0.021767476125806408
TAMPLIM_VOR_MM_A,categorical,OPTIMAL,True,3,593.7339089110966,0.03857822535335815
TAMPLIM_VOR_MMAX_A,categorical,OPTIMAL,True,3,647.8220318790939,0.15817304500197127
TM_VOR_MM_A,categorical,OPTIMAL,True,3,690.0648392238352,0.4457952489162382
TM_VOR_MMAX_A,categorical,OPTIMAL,True,3,571.1323351059242,0.025734163843845238
TMM_VOR_MM_A,categorical,OPTIMAL,True,4,716.9441348418189,6.604766004447372e-05
TMM_VOR_MMAX_A,categorical,OPTIMAL,True,4,676.4812762997217,0.0023861723037681
TMMAX_VOR_MM_A,categorical,OPTIMAL,True,3,592.323892245343,0.3711655979123405
TMMAX_VOR_MMAX_A,categorical,OPTIMAL,True,3,619.3354872321913,0.05119106001324183
TMMIN_VOR_MM_A,categorical,OPTIMAL,True,4,691.5948604274394,0.032375943077348986
TMMIN_VOR_MMAX_A,categorical,OPTIMAL,True,3,580.2129918856928,0.3636495838618801
TN_VOR_MM_A,categorical,OPTIMAL,True,4,630.9103671362092,0.040259007945818395
TN_VOR_MMAX_A,categorical,OPTIMAL,True,3,577.1104804916479,0.13767594216935872
TNAB_VOR_MM_A,categorical,OPTIMAL,True,4,730.9423497252482,0.01672239827225907
TNAB_VOR_MMAX_A,categorical,OPTIMAL,True,4,718.527175391937,0.0660688070187269
TNMAX_VOR_MM_A,categorical,OPTIMAL,True,3,692.5079667529105,0.2809110400576243
TNMAX_VOR_MMAX_A,categorical,OPTIMAL,True,3,622.689394300141,0.1677711581425782
TX_VOR_MM_A,categorical,OPTIMAL,True,3,587.2980145165832,0.2921684847866179
TX_VOR_MMAX_A,categorical,OPTIMAL,True,3,599.8723858644096,0.02150108011559338
TXAB_VOR_MM_A,categorical,OPTIMAL,True,3,579.4174199636793,0.3102964654534318
TXAB_VOR_MMAX_A,categorical,OPTIMAL,True,3,609.727042130343,0.03319375803246916
TXMIN_VOR_MM_A,categorical,OPTIMAL,True,4,624.2882481290401,0.002246811389191831
TXMIN_VOR_MMAX_A,categorical,OPTIMAL,True,3,565.2501037153121,0.38789191255246463
NBJFF10_MM_A,categorical,OPTIMAL,True,4,739.0660102716046,0.03164998047901988
NBJFF10_MMAX_A,categorical,OPTIMAL,True,4,744.5490938370785,0.009713241905758795
NBJFF10_MSOM_A,categorical,OPTIMAL,True,4,739.0660102716046,0.03164998047901988
NBJFF16_MM_A,categorical,OPTIMAL,True,4,619.1481928880851,0.024623460604654496
NBJFF16_MMAX_A,categorical,OPTIMAL,True,4,683.9339264701074,0.0005383396101054848
NBJFF16_MSOM_A,categorical,OPTIMAL,True,4,619.1481928880851,0.024623460604654496
NBJFF28_MM_A,categorical,OPTIMAL,True,3,613.3861307251692,0.30581476774214134
NBJFF28_MMAX_A,categorical,OPTIMAL,True,3,537.3278284055533,0.049922544387766596
NBJFF28_MSOM_A,categorical,OPTIMAL,True,3,613.3861307251692,0.30581476774214134
NBJFXI3S10_MM_A,categorical,OPTIMAL,True,4,722.4165696812705,0.10346561884654756
NBJFXI3S10_MMAX_A,categorical,OPTIMAL,True,4,749.4261528754886,0.0198245891185459
NBJFXI3S10_MSOM_A,categorical,OPTIMAL,True,4,722.4165696812705,0.10346561884654756
NBJFXI3S16_MM_A,categorical,OPTIMAL,True,4,643.1001281966387,0.00020869315122108137
NBJFXI3S16_MMAX_A,categorical,OPTIMAL,True,4,737.5764449007279,0.005831433051956026
NBJFXI3S16_MSOM_A,categorical,OPTIMAL,True,4,643.1001281966387,0.00020869315122108137
NBJFXI3S28_MM_A,categorical,OPTIMAL,True,4,660.7160035604002,0.13216512859666893
NBJFXI3S28_MMAX_A,categorical,OPTIMAL,True,3,532.1472043406634,0.058980210700152386
NBJFXI3S28_MSOM_A,categorical,OPTIMAL,True,4,660.7160035604002,0.13216512859666893
NBJFXY8_MM_A,categorical,OPTIMAL,True,4,699.803484003317,0.007794128169391381
NBJFXY8_MMAX_A,categorical,OPTIMAL,True,4,755.0297697151917,0.02772380499460527
NBJFXY8_MSOM_A,categorical,OPTIMAL,True,4,699.803484003317,0.007794128169391381
NBJFXY10_MM_A,categorical,OPTIMAL,True,4,703.526329139283,0.04238804789788575
NBJFXY10_MMAX_A,categorical,OPTIMAL,True,4,718.0188673696576,0.018589861701344943
NBJFXY10_MSOM_A,categorical,OPTIMAL,True,4,703.526329139283,0.04238804789788575
NBJFXY15_MM_A,categorical,OPTIMAL,True,3,512.2360658429939,0.2205751481877945
NBJFXY15_MMAX_A,categorical,OPTIMAL,True,3,522.9551861334119,0.24173410979248486
NBJFXY15_MSOM_A,categorical,OPTIMAL,True,3,512.2360658429939,0.2205751481877945
FFM_VOR_MM_A,categorical,OPTIMAL,True,3,604.5763885407903,0.18659578228758938
FFM_VOR_MMAX_A,categorical,OPTIMAL,True,3,613.1890021397627,0.07115518779691775
FXI3SAB_VOR_MM_A,categorical,OPTIMAL,True,3,575.8932761877618,0.18631460000559782
FXI3SAB_VOR_MMAX_A,categorical,OPTIMAL,True,3,573.9028612236644,0.06754662877635081
FXIAB_VOR_MM_A,categorical,OPTIMAL,True,3,571.7056373852047,0.0360846751474237
FXIAB_VOR_MMAX_A,categorical,OPTIMAL,True,3,551.2224934876435,0.31751874885240355
FXYAB_VOR_MM_A,categorical,OPTIMAL,True,3,583.4870978476456,0.2612178054793577
FXYAB_VOR_MMAX_A,categorical,OPTIMAL,True,3,601.5834020885579,0.3066213831806951
FFM_VOR_COM_MM_A_Y,categorical,OPTIMAL,True,4,356.03643867061396,0.023329977112256123
